stage,organ,head,share,n_pixels
dec1,liver,1,0.50333431916934,5087984
dec1,liver,2,0.21860615224351582,5087984
dec1,liver,3,0.19637087239747572,5087984
dec1,liver,4,0.08168865700923486,5087984
dec1,spleen,1,0.5199329560925543,775146
dec1,spleen,2,0.3114782807714871,775146
dec1,spleen,3,0.10338161234643754,775146
dec1,spleen,4,0.06520715173286565,775146
dec1,right_kidney,1,0.5294564528308338,511738
dec1,right_kidney,2,0.27812511373804305,511738
dec1,right_kidney,3,0.11085994590092794,511738
dec1,right_kidney,4,0.08155848973203723,511738
dec1,left_kidney,1,0.40341264525272713,539877
dec1,left_kidney,2,0.3830689448143481,539877
dec1,left_kidney,3,0.13783126488593034,539877
dec1,left_kidney,4,0.07568714479030482,539877
dec1,stomach,1,0.6700221506475368,1437396
dec1,stomach,2,0.12611871052436013,1437396
dec1,stomach,3,0.10615384665271553,1437396
dec1,stomach,4,0.09770529089911315,1437396
dec1,pancreas,1,0.4195353223639381,252719
dec1,pancreas,2,0.21703765764565097,252719
dec1,pancreas,3,0.25684514667858965,252719
dec1,pancreas,4,0.10658187200896693,252719
dec1,gall_bladder,1,0.4198620878910351,134991
dec1,gall_bladder,2,0.31294873270298346,134991
dec1,gall_bladder,3,0.15267131648058468,134991
dec1,gall_bladder,4,0.11451786222687206,134991
dec1,right_adrenal_gland,1,0.2696359707780941,12525
dec1,right_adrenal_gland,2,0.49194273786868403,12525
dec1,right_adrenal_gland,3,0.14084431543083725,12525
dec1,right_adrenal_gland,4,0.09757697422347383,12525
dec1,left_adrenal_gland,1,0.15612127696768935,14840
dec1,left_adrenal_gland,2,0.51143743189358,14840
dec1,left_adrenal_gland,3,0.23662731841889353,14840
dec1,left_adrenal_gland,4,0.09581397292869431,14840
dec1,duodenum,1,0.38002186594567283,217818
dec1,duodenum,2,0.23960670253099123,217818
dec1,duodenum,3,0.21220410510584725,217818
dec1,duodenum,4,0.16816732361974981,217818
dec1,esophagus,1,0.2726727645173885,58969
dec1,esophagus,2,0.28310190234217986,58969
dec1,esophagus,3,0.23209887296939308,58969
dec1,esophagus,4,0.21212646227750265,58969
dec1,bladder,1,0.6548187428567315,436395
dec1,bladder,2,0.19194830373691202,436395
dec1,bladder,3,0.07613124008348293,436395
dec1,bladder,4,0.07710171209689419,436395
dec1,background,1,0.21501712826976782,167189298
dec1,background,2,0.24014488959553873,167189298
dec1,background,3,0.29252596682377996,167189298
dec1,background,4,0.25231201746626414,167189298
dec2,liver,1,0.3695426798227374,5087984
dec2,liver,2,0.26249832992006034,5087984
dec2,liver,3,0.1977221411114349,5087984
dec2,liver,4,0.1702368484442859,5087984
dec2,spleen,1,0.08039453230678462,775146
dec2,spleen,2,0.6552564377415917,775146
dec2,spleen,3,0.11785182286037431,775146
dec2,spleen,4,0.1464972074889489,775146
dec2,right_kidney,1,0.09593682033363238,511738
dec2,right_kidney,2,0.50770495345736,511738
dec2,right_kidney,3,0.08535124068574787,511738
dec2,right_kidney,4,0.3110069863334593,511738
dec2,left_kidney,1,0.14951670168372988,539877
dec2,left_kidney,2,0.3923619111349841,539877
dec2,left_kidney,3,0.11578763212451854,539877
dec2,left_kidney,4,0.3423337564242329,539877
dec2,stomach,1,0.16489544653678945,1437396
dec2,stomach,2,0.3107077360290537,1437396
dec2,stomach,3,0.20601745090142326,1437396
dec2,stomach,4,0.3183793653425034,1437396
dec2,pancreas,1,0.15728675143015564,252719
dec2,pancreas,2,0.5431766091737846,252719
dec2,pancreas,3,0.08888405131651425,252719
dec2,pancreas,4,0.21065258971589665,252719
dec2,gall_bladder,1,0.25949375142718467,134991
dec2,gall_bladder,2,0.2640105999018296,134991
dec2,gall_bladder,3,0.19247855259412755,134991
dec2,gall_bladder,4,0.2840170948493621,134991
dec2,right_adrenal_gland,1,0.1788410657132695,12525
dec2,right_adrenal_gland,2,0.5801387778299297,12525
dec2,right_adrenal_gland,3,0.05874134372094434,12525
dec2,right_adrenal_gland,4,0.18227881185546846,12525
dec2,left_adrenal_gland,1,0.2044390208918772,14840
dec2,left_adrenal_gland,2,0.5020140858593013,14840
dec2,left_adrenal_gland,3,0.11522720176174313,14840
dec2,left_adrenal_gland,4,0.17831968665122985,14840
dec2,duodenum,1,0.16854821062852904,217818
dec2,duodenum,2,0.406251438773342,217818
dec2,duodenum,3,0.08423886731825073,217818
dec2,duodenum,4,0.3409614834640408,217818
dec2,esophagus,1,0.28529650342355484,58969
dec2,esophagus,2,0.3547025422971167,58969
dec2,esophagus,3,0.07865643023284205,58969
dec2,esophagus,4,0.28134452357647405,58969
dec2,bladder,1,0.24970850662008365,436395
dec2,bladder,2,0.4203395062550409,436395
dec2,bladder,3,0.06251005786746318,436395
dec2,bladder,4,0.2674419301676091,436395
dec2,background,1,0.22795760234465262,167189298
dec2,background,2,0.24695959761006392,167189298
dec2,background,3,0.26303784882791215,167189298
dec2,background,4,0.2620449509428416,167189298
dec3,liver,1,0.30334345511570454,5087984
dec3,liver,2,0.15488314836796255,5087984
dec3,liver,3,0.24860032834860632,5087984
