stage,head,r_all,r_fg,r_bg
dec1,1,0.23160382666995585,0.524114590634208,0.2150171282697678
dec1,2,0.23941444590245925,0.22653288035273436,0.2401448895955387
dec1,3,0.2855845371635425,0.16317060981455636,0.2925259668237799
dec1,4,0.24339719231840976,0.08618191947200468,0.2523120174662641
dec2,1,0.2301697061317212,0.26918073491586525,0.2279576023446526
dec2,2,0.2520592056410021,0.3419921268925906,0.2469595976100639
dec2,3,0.257983957487559,0.16885726203005663,0.2630378488279121
dec2,4,0.25978713046155677,0.2199698758192907,0.2620449509428416
dec3,1,0.24418603276165962,0.47917482230291886,0.230861093444136
dec3,2,0.26189420155317017,0.11827289684153287,0.2700381865225047
dec3,3,0.24543200972588525,0.16019684693128816,0.2502652333625296
dec3,4,0.24848775722612623,0.24235543435524382,0.2488354879850679
dec4,1,0.2658170795924498,0.5915332929590932,0.247347480313621
dec4,2,0.28655398403841237,0.3924122328059676,0.2805513370872933
dec4,3,0.22553176666657107,0.005294744401269845,0.2380202132979453
dec4,4,0.22209717101035467,0.010759727937450156,0.2340809707906102
