config,organ,dice,delta
baseline,liver,0.9280175432464145,0.0
baseline,spleen,0.9266090389948031,0.0
baseline,right_kidney,0.9190377177224596,0.0
baseline,left_kidney,0.9246898363266501,0.0
baseline,stomach,0.8220984491927021,0.0
baseline,pancreas,0.7006575322408995,0.0
baseline,gall_bladder,0.6647945278610596,0.0
baseline,right_adrenal_gland,0.6642683706749746,0.0
baseline,left_adrenal_gland,0.6415124159885651,0.0
baseline,duodenum,0.6426424798218174,0.0
baseline,esophagus,0.7658956008246307,0.0
baseline,bladder,0.8253156955082407,0.0
uniform_all,liver,0.9043619110357946,-0.023655632210619948
uniform_all,spleen,0.8028571881489589,-0.12375185084584417
uniform_all,right_kidney,0.5930803694716336,-0.325957348250826
uniform_all,left_kidney,0.6443113136536555,-0.2803785226729947
uniform_all,stomach,0.6149783224646631,-0.20712012672803903
uniform_all,pancreas,0.5177688021325,-0.18288873010839957
uniform_all,gall_bladder,0.6641235220432121,-0.0006710058178475142
uniform_all,right_adrenal_gland,0.4640899374754569,-0.20017843319951767
uniform_all,left_adrenal_gland,0.4285777162858115,-0.21293469970275364
uniform_all,duodenum,0.48765942079049257,-0.15498305903132487
uniform_all,esophagus,0.6453720593006113,-0.12052354152401945
uniform_all,bladder,0.6852555803016902,-0.14006011520655048
uniform_dec4_only,liver,0.9217502788268441,-0.006267264419570373
uniform_dec4_only,spleen,0.9070946482778913,-0.019514390716911745
uniform_dec4_only,right_kidney,0.860564443513721,-0.0584732742087386
uniform_dec4_only,left_kidney,0.9041654073748501,-0.020524428951800067
uniform_dec4_only,stomach,0.7759147920792553,-0.04618365711344685
uniform_dec4_only,pancreas,0.6644677711206132,-0.03618976112028638
uniform_dec4_only,gall_bladder,0.6820554133078189,0.0172608854467593
uniform_dec4_only,right_adrenal_gland,0.6444174269600917,-0.01985094371488283
uniform_dec4_only,left_adrenal_gland,0.6378608986842516,-0.0036515173043135674
uniform_dec4_only,duodenum,0.6107639097222693,-0.03187857009954809
uniform_dec4_only,esophagus,0.7362647302827985,-0.02963087054183222
uniform_dec4_only,bladder,0.8120268874858898,-0.013288808022350884
uniform_dec3_only,liver,0.9250973387401362,-0.002920204506278279
uniform_dec3_only,spleen,0.921429486295425,-0.005179552699378087
uniform_dec3_only,right_kidney,0.847228775539168,-0.07180894218329159
uniform_dec3_only,left_kidney,0.8795458514953537,-0.045143984831296446
uniform_dec3_only,stomach,0.799550025854536,-0.02254842333816609
uniform_dec3_only,pancreas,0.6614541128927128,-0.03920341934818672
uniform_dec3_only,gall_bladder,0.6690803168546091,0.0042857889935494775
uniform_dec3_only,right_adrenal_gland,0.6309514584585822,-0.033316912216392325
uniform_dec3_only,left_adrenal_gland,0.5765835397219636,-0.06492887626660149
uniform_dec3_only,duodenum,0.5955822973298884,-0.047060182491929003
uniform_dec3_only,esophagus,0.7432196804823473,-0.022675920342283384
uniform_dec3_only,bladder,0.781504577081064,-0.043811118427176665
uniform_dec2_only,liver,0.9248995571407524,-0.0031179861056620517
uniform_dec2_only,spleen,0.9016676665757609,-0.02494137241904215
uniform_dec2_only,right_kidney,0.9107862808486671,-0.008251436873792484
uniform_dec2_only,left_kidney,0.9203680785603348,-0.004321757766315382
uniform_dec2_only,stomach,0.8186217071156648,-0.003476742077037298
uniform_dec2_only,pancreas,0.6675019243480818,-0.033155607892817796
uniform_dec2_only,gall_bladder,0.6618951380815727,-0.002899389779486894
uniform_dec2_only,right_adrenal_gland,0.6433846364659629,-0.020883734209011684
uniform_dec2_only,left_adrenal_gland,0.619846651111451,-0.021665764877114135
uniform_dec2_only,duodenum,0.6277143677648529,-0.014928112056964538
uniform_dec2_only,esophagus,0.7369591552813194,-0.028936445543311318
uniform_dec2_only,bladder,0.814209977674273,-0.011105717833967632
uniform_dec1_only,liver,0.9245665636875772,-0.0034509795588373304
uniform_dec1_only,spleen,0.9185727982176944,-0.008036240777108627
uniform_dec1_only,right_kidney,0.9122217295616313,-0.00681598816082829
uniform_dec1_only,left_kidney,0.913215471848995,-0.011474364477655152
uniform_dec1_only,stomach,0.8014568112162863,-0.020641637976415828
uniform_dec1_only,pancreas,0.6969891201923867,-0.00366841204851287
uniform_dec1_only,gall_bladder,0.6661207264746687,0.0013261986136090531
uniform_dec1_only,right_adrenal_gland,0.6152569563972254,-0.04901141427774913
uniform_dec1_only,left_adrenal_gland,0.6147663007522004,-0.02674611523636472
uniform_dec1_only,duodenum,0.6322763701097681,-0.01036610971204932
uniform_dec1_only,esophagus,0.7540918529957258,-0.01180374782890492
uniform_dec1_only,bladder,0.8229976447672644,-0.0023180507409762408
remove_dec4_H1,liver,0.9134068553876666,-0.014610687858747862
remove_dec4_H1,spleen,0.3724123641606039,-0.5541966748341991
remove_dec4_H1,right_kidney,0.7227962363963025,-0.19624148132615704
remove_dec4_H1,left_kidney,0.22148185821555502,-0.7032079781110951
remove_dec4_H1,stomach,0.18140171509195904,-0.6406967341007431
remove_dec4_H1,pancreas,0.4771061085971785,-0.22355142364372105
remove_dec4_H1,gall_bladder,0.6614166852467491,-0.003377842614310511
remove_dec4_H1,right_adrenal_gland,0.5930817077215745,-0.07118666295340004
remove_dec4_H1,left_adrenal_gland,0.46670914268272856,-0.17480327330583656
remove_dec4_H1,duodenum,0.4569314087804438,-0.18571107104137363
remove_dec4_H1,esophagus,0.6265602602699488,-0.13933534055468189
remove_dec4_H1,bladder,0.16156695857160408,-0.6637487369366366
remove_dec4_H2,liver,0.9210785873086247,-0.006938955937789815
remove_dec4_H2,spleen,0.9243724250330265,-0.0022366139617765457
remove_dec4_H2,right_kidney,0.9071480742832888,-0.01188964343917076
remove_dec4_H2,left_kidney,0.9248620009043543,0.00017216457770419247
remove_dec4_H2,stomach,0.8204170374504479,-0.001681411742254224
remove_dec4_H2,pancreas,0.6972490947849624,-0.003408437455937108
remove_dec4_H2,gall_bladder,0.651141880126157,-0.013652647734902601
remove_dec4_H2,right_adrenal_gland,0.6612789782115237,-0.0029893924634508684
remove_dec4_H2,left_adrenal_gland,0.6426054788121476,0.001093062823582458
remove_dec4_H2,duodenum,0.6399904913072466,-0.0026519885145708244
remove_dec4_H2,esophagus,0.7674874191363518,0.0015918183117210605
remove_dec4_H2,bladder,0.8252597421216554,-5.595338658526128e-05
remove_dec4_H3,liver,0.9279884531205853,-2.9090125829189795e-05
remove_dec4_H3,spleen,0.9266995235345475,9.048453974447312e-05
remove_dec4_H3,right_kidney,0.9191416191895478,0.0001039014670882743
remove_dec4_H3,left_kidney,0.9247330068345851,4.317050793500865e-05
remove_dec4_H3,stomach,0.8221847805266277,8.633133392554893e-05
remove_dec4_H3,pancreas,0.7006322318222702,-2.5300418629359278e-05
remove_dec4_H3,gall_bladder,0.6648472137713558,5.2685910296168537e-05
remove_dec4_H3,right_adrenal_gland,0.664229242247666,-3.9128427308576796e-05
remove_dec4_H3,left_adrenal_gland,0.6415124159885651,0.0
remove_dec4_H3,duodenum,0.642669453359115,2.6973537297525496e-05
remove_dec4_H3,esophagus,0.7658966692967087,1.0684720780362866e-06
remove_dec4_H3,bladder,0.825281867718317,-3.3827789923668306e-05
remove_dec4_H4,liver,0.9279951073936542,-2.243585276029414e-05
remove_dec4_H4,spleen,0.9262942238954556,-0.0003148150993474985
remove_dec4_H4,right_kidney,0.9191613636962306,0.00012364597377101383
remove_dec4_H4,left_kidney,0.9246223881392176,-6.744818743253944e-05
remove_dec4_H4,stomach,0.8220162309389083,-8.221825379384207e-05
remove_dec4_H4,pancreas,0.7006430625993897,-1.4469641509862186e-05
remove_dec4_H4,gall_bladder,0.6649055961170556,0.00011106825599593861
remove_dec4_H4,right_adrenal_gland,0.6642688237757698,4.531007952168764e-07
remove_dec4_H4,left_adrenal_gland,0.6415530508820192,4.063489345407234e-05
remove_dec4_H4,duodenum,0.6426667805897807,2.4300767963225667e-05
remove_dec4_H4,esophagus,0.7658960860682421,4.852436114033409e-07
remove_dec4_H4,bladder,0.8253007452676147,-1.4950240626032674e-05
remove_dec3_H1,liver,0.9207891710349266,-0.007228372211487866
remove_dec3_H1,spleen,0.8930021791142784,-0.0336068598805247
remove_dec3_H1,right_kidney,0.8142394366600434,-0.10479828106241618
remove_dec3_H1,left_kidney,0.80715370113435,-0.1175361351923001
remove_dec3_H1,stomach,0.5959237980497167,-0.2261746511429854
remove_dec3_H1,pancreas,0.6735655671758846,-0.02709196506501499
remove_dec3_H1,gall_bladder,0.6546450312658474,-0.010149496595212248
remove_dec3_H1,right_adrenal_gland,0.6418484976819767,-0.022419872992997858
remove_dec3_H1,left_adrenal_gland,0.5775305259434502,-0.0639818900451149
remove_dec3_H1,duodenum,0.6390481255128296,-0.0035943543089878016
remove_dec3_H1,esophagus,0.7544021823856695,-0.011493418438961234
remove_dec3_H1,bladder,0.5043774115934436,-0.32093828391479706
remove_dec3_H2,liver,0.9267277613315098,-0.0012897819149046974
remove_dec3_H2,spleen,0.9243217022491836,-0.0022873367456194282
remove_dec3_H2,right_kidney,0.9183690213784338,-0.0006686963440257765
remove_dec3_H2,left_kidney,0.9252346560209491,0.0005448196942989814
remove_dec3_H2,stomach,0.8229384037059488,0.000839954513246699
remove_dec3_H2,pancreas,0.7014810963253372,0.0008235640844376224
remove_dec3_H2,gall_bladder,0.6593111103108868,-0.005483417550172787
remove_dec3_H2,right_adrenal_gland,0.6639634925487483,-0.0003048781262262601
remove_dec3_H2,left_adrenal_gland,0.641682903783123,0.0001704877945578609
remove_dec3_H2,duodenum,0.6409003673446014,-0.0017421124772160068
remove_dec3_H2,esophagus,0.7674479196969264,0.0015523188722956771
remove_dec3_H2,bladder,0.8240382775948,-0.0012774179134407149
remove_dec3_H3,liver,0.9184959302872222,-0.009521612959192294
remove_dec3_H3,spleen,0.9255209080697779,-0.0010881309250251325
remove_dec3_H3,right_kidney,0.9185422192133478,-0.0004954985091117914
remove_dec3_H3,left_kidney,0.9244091206769082,-0.0002807156497419694
remove_dec3_H3,stomach,0.8214795638802306,-0.0006188853124715621
remove_dec3_H3,pancreas,0.7010609273902538,0.0004033951493542798
remove_dec3_H3,gall_bladder,0.6363621382904939,-0.028432389570565708
remove_dec3_H3,right_adrenal_gland,0.6643473066478153,7.893597284069909e-05
remove_dec3_H3,left_adrenal_gland,0.6406316664641132,-0.0008807495244519403
remove_dec3_H3,duodenum,0.6419994496548155,-0.0006430301670019567
remove_dec3_H3,esophagus,0.7665371127126289,0.000641511887998214
remove_dec3_H3,bladder,0.825688001765967,0.0003723062577263292
remove_dec3_H4,liver,0.9264897891951449,-0.001527754051269592
remove_dec3_H4,spleen,0.9265585872840116,-5.0451710791432625e-05
remove_dec3_H4,right_kidney,0.9196409960188102,0.0006032782963506511
remove_dec3_H4,left_kidney,0.9229544552672269,-0.00173538105942328
remove_dec3_H4,stomach,0.8204212058075813,-0.0016772433851208746
remove_dec3_H4,pancreas,0.6394536800800941,-0.06120385216080548
remove_dec3_H4,gall_bladder,0.5626066387113722,-0.10218788914968746
remove_dec3_H4,right_adrenal_gland,0.5829444224283346,-0.08132394824664002
remove_dec3_H4,left_adrenal_gland,0.5510008711271128,-0.0905115448614523
remove_dec3_H4,duodenum,0.4956324482655411,-0.14701003155627634
remove_dec3_H4,esophagus,0.6582815593979365,-0.10761404142669417
remove_dec3_H4,bladder,0.8254005561604949,8.486065225421502e-05
remove_dec2_H1,liver,0.9226972121276603,-0.005320331118754185
remove_dec2_H1,spleen,0.927450437146488,0.0008413981516849356
remove_dec2_H1,right_kidney,0.9194339899712625,0.000396272248802898
remove_dec2_H1,left_kidney,0.923966926774851,-0.0007229095517991002
remove_dec2_H1,stomach,0.8188505048970094,-0.0032479442956927507
remove_dec2_H1,pancreas,0.7033092835441968,0.0026517513032972007
