config,organ,dice,delta
baseline,liver,0.9277778176101772,0.0
baseline,spleen,0.9279019417846273,0.0
baseline,right_kidney,0.9238204184225732,0.0
baseline,left_kidney,0.9195768342269304,0.0
baseline,stomach,0.8426144989715995,0.0
baseline,pancreas,0.6983885937815263,0.0
baseline,gall_bladder,0.7093275795840799,0.0
baseline,right_adrenal_gland,0.6280760935827243,0.0
baseline,left_adrenal_gland,0.6433781620596201,0.0
baseline,duodenum,0.6267477741515445,0.0
baseline,esophagus,0.7630531381539845,0.0
baseline,bladder,0.8237191400706192,0.0
uniform_all,liver,0.9197747554095783,-0.008003062200598876
uniform_all,spleen,0.9155683930597458,-0.01233354872488146
uniform_all,right_kidney,0.9094540959737285,-0.014366322448844726
uniform_all,left_kidney,0.9040495439317314,-0.015527290295198948
uniform_all,stomach,0.7647902953701122,-0.07782420360148723
uniform_all,pancreas,0.6848496863652043,-0.013538907416322021
uniform_all,gall_bladder,0.7274781935067028,0.01815061392262296
uniform_all,right_adrenal_gland,0.5903133204213545,-0.03776277316136978
uniform_all,left_adrenal_gland,0.6177511343345556,-0.025627027725064422
uniform_all,duodenum,0.6083101423415135,-0.018437631810030997
uniform_all,esophagus,0.6866519722215433,-0.07640116593244117
uniform_all,bladder,0.7865627151721102,-0.03715642489850901
uniform_dec4_only,liver,0.9273686334014083,-0.00040918420876889794
uniform_dec4_only,spleen,0.9263787404271834,-0.0015232013574438819
uniform_dec4_only,right_kidney,0.9218020129445353,-0.002018405478037888
uniform_dec4_only,left_kidney,0.9192187270292869,-0.00035810719764350907
uniform_dec4_only,stomach,0.8242099550445298,-0.018404543927069694
uniform_dec4_only,pancreas,0.690473045211246,-0.007915548570280317
uniform_dec4_only,gall_bladder,0.7073553958114173,-0.001972183772662617
uniform_dec4_only,right_adrenal_gland,0.6256398033786503,-0.0024362902040739876
uniform_dec4_only,left_adrenal_gland,0.6453806530547587,0.002002490995138606
uniform_dec4_only,duodenum,0.6234878840583242,-0.0032598900932202524
uniform_dec4_only,esophagus,0.7500137756473959,-0.013039362506588548
uniform_dec4_only,bladder,0.8248876724546014,0.0011685323839821793
uniform_dec3_only,liver,0.9230858387553283,-0.004691978854848844
uniform_dec3_only,spleen,0.924181423546546,-0.003720518238081283
uniform_dec3_only,right_kidney,0.9176752531418029,-0.006145165280770359
uniform_dec3_only,left_kidney,0.9125261274867233,-0.0070507067402070245
uniform_dec3_only,stomach,0.8165510440131744,-0.026063454958425103
uniform_dec3_only,pancreas,0.7031055131218374,0.004716919340311154
uniform_dec3_only,gall_bladder,0.7402279748970674,0.030900395312987494
uniform_dec3_only,right_adrenal_gland,0.6193087618442538,-0.008767331738470552
uniform_dec3_only,left_adrenal_gland,0.6190224463504203,-0.02435571570919981
uniform_dec3_only,duodenum,0.6109634930578507,-0.015784281093693786
uniform_dec3_only,esophagus,0.755776949093887,-0.0072761890600974155
uniform_dec3_only,bladder,0.8055655207042081,-0.018153619366411133
uniform_dec2_only,liver,0.9260965745921048,-0.0016812430180723759
uniform_dec2_only,spleen,0.9276584242755589,-0.00024351750906836944
uniform_dec2_only,right_kidney,0.921990606798778,-0.0018298116237952522
uniform_dec2_only,left_kidney,0.9176188024091083,-0.001958031817822059
uniform_dec2_only,stomach,0.8396080222079519,-0.0030064767636475143
uniform_dec2_only,pancreas,0.6846941627604992,-0.013694431021027076
uniform_dec2_only,gall_bladder,0.7062511350949601,-0.0030764444891198117
uniform_dec2_only,right_adrenal_gland,0.6080766779640557,-0.01999941561866858
uniform_dec2_only,left_adrenal_gland,0.6444360158333022,0.0010578537736821714
uniform_dec2_only,duodenum,0.6206483238892865,-0.006099450262257999
uniform_dec2_only,esophagus,0.7488018769642499,-0.014251261189734521
uniform_dec2_only,bladder,0.8166511516893197,-0.007067988381299517
uniform_dec1_only,liver,0.9274876957516941,-0.00029012185848309446
uniform_dec1_only,spleen,0.9253995774156546,-0.002502364368972665
uniform_dec1_only,right_kidney,0.9211577645681999,-0.0026626538543733647
uniform_dec1_only,left_kidney,0.9136087982650585,-0.005968035961871898
uniform_dec1_only,stomach,0.8411276081760144,-0.0014868907955850608
uniform_dec1_only,pancreas,0.6947313743390422,-0.0036572194424840943
uniform_dec1_only,gall_bladder,0.7062026892676834,-0.0031248903163965114
uniform_dec1_only,right_adrenal_gland,0.6208938562833196,-0.0071822372994047035
uniform_dec1_only,left_adrenal_gland,0.6427493075900983,-0.0006288544695217668
uniform_dec1_only,duodenum,0.6231874599636266,-0.0035603141879179123
uniform_dec1_only,esophagus,0.7495928099133858,-0.013460328240598618
uniform_dec1_only,bladder,0.8189166978934165,-0.004802442177202715
remove_dec4_H1,liver,0.9277778176101772,0.0
remove_dec4_H1,spleen,0.9279019417846273,0.0
remove_dec4_H1,right_kidney,0.9238204184225732,0.0
remove_dec4_H1,left_kidney,0.9195768342269304,0.0
remove_dec4_H1,stomach,0.8426144989715995,0.0
remove_dec4_H1,pancreas,0.6983885937815263,0.0
remove_dec4_H1,gall_bladder,0.7093275795840799,0.0
remove_dec4_H1,right_adrenal_gland,0.6280760935827243,0.0
remove_dec4_H1,left_adrenal_gland,0.6433781620596201,0.0
remove_dec4_H1,duodenum,0.6267477741515445,0.0
remove_dec4_H1,esophagus,0.7630531381539845,0.0
remove_dec4_H1,bladder,0.8237191400706192,0.0
remove_dec4_H2,liver,0.7197444501137206,-0.20803336749645662
remove_dec4_H2,spleen,0.5946542801870607,-0.3332476615975666
remove_dec4_H2,right_kidney,0.8247164208137682,-0.09910399760880506
remove_dec4_H2,left_kidney,0.7906436832266663,-0.12893315100026403
remove_dec4_H2,stomach,0.26097697917365814,-0.5816375197979413
remove_dec4_H2,pancreas,0.30354548559821065,-0.39484310818331564
remove_dec4_H2,gall_bladder,0.6085816371256508,-0.10074594245842905
remove_dec4_H2,right_adrenal_gland,0.507887113561586,-0.12018898002113831
remove_dec4_H2,left_adrenal_gland,0.5292648414084897,-0.11411332065113033
remove_dec4_H2,duodenum,0.3243122091477505,-0.302435565003794
remove_dec4_H2,esophagus,0.408805276129202,-0.3542478620247825
remove_dec4_H2,bladder,0.6105938565374169,-0.21312528353320226
remove_dec3_H1,liver,0.9203006123223723,-0.007477205287804933
remove_dec3_H1,spleen,0.8469683235829532,-0.0809336182016741
remove_dec3_H1,right_kidney,0.8552250414788151,-0.06859537694375817
remove_dec3_H1,left_kidney,0.7380525701605957,-0.1815242640663347
remove_dec3_H1,stomach,0.4204671743030785,-0.42214732466852095
remove_dec3_H1,pancreas,0.5792601594065963,-0.11912843437493004
remove_dec3_H1,gall_bladder,0.6791642515030807,-0.030163328080999197
remove_dec3_H1,right_adrenal_gland,0.5980849541680869,-0.02999113941463738
remove_dec3_H1,left_adrenal_gland,0.41423930507194695,-0.2291388569876731
remove_dec3_H1,duodenum,0.49026906994993597,-0.13647870420160851
remove_dec3_H1,esophagus,0.6615113122594205,-0.10154182589456395
remove_dec3_H1,bladder,0.5517453626663024,-0.27197377740431683
remove_dec3_H2,liver,0.9122680162176535,-0.01550980139252367
remove_dec3_H2,spleen,0.9266445649457922,-0.0012573768388350892
remove_dec3_H2,right_kidney,0.9150877296938382,-0.008732688728735005
remove_dec3_H2,left_kidney,0.9190663394820331,-0.000510494744897283
remove_dec3_H2,stomach,0.8400224937403922,-0.002592005231207284
remove_dec3_H2,pancreas,0.696103980311559,-0.0022846134699673337
remove_dec3_H2,gall_bladder,0.671114354976665,-0.03821322460741483
remove_dec3_H2,right_adrenal_gland,0.574175114761141,-0.05390097882158329
remove_dec3_H2,left_adrenal_gland,0.6448013401570056,0.001423178097385569
remove_dec3_H2,duodenum,0.6207515434421594,-0.005996230709385042
remove_dec3_H2,esophagus,0.7611308779808115,-0.001922260173172985
remove_dec3_H2,bladder,0.8238153101885393,9.617011792006913e-05
remove_dec2_H1,liver,0.9187818633733733,-0.008995954236803883
remove_dec2_H1,spleen,0.9166579232300774,-0.011244018554549817
remove_dec2_H1,right_kidney,0.8884706895089051,-0.035349728913668166
remove_dec2_H1,left_kidney,0.8960670907561197,-0.023509743470810696
remove_dec2_H1,stomach,0.8154943872263694,-0.027120111745230102
remove_dec2_H1,pancreas,0.6429728320787768,-0.05541576170274953
remove_dec2_H1,gall_bladder,0.6630452390582935,-0.04628234052578639
remove_dec2_H1,right_adrenal_gland,0.4366871324168078,-0.19138896116591653
remove_dec2_H1,left_adrenal_gland,0.5760231911545568,-0.06735497090506326
remove_dec2_H1,duodenum,0.5613377465912177,-0.06541002756032677
remove_dec2_H1,esophagus,0.5653034327532951,-0.19774970540068937
remove_dec2_H1,bladder,0.79090805123467,-0.03281108883594919
remove_dec2_H2,liver,0.9211951491914311,-0.006582668418746107
remove_dec2_H2,spleen,0.9270089730729215,-0.0008929687117057439
remove_dec2_H2,right_kidney,0.9198769093040967,-0.003943509118476518
remove_dec2_H2,left_kidney,0.917258144272211,-0.0023186899547193995
remove_dec2_H2,stomach,0.8222234835152697,-0.02039101545632971
remove_dec2_H2,pancreas,0.6908563554612044,-0.0075322383203219045
remove_dec2_H2,gall_bladder,0.7041411803768458,-0.0051863992072340714
remove_dec2_H2,right_adrenal_gland,0.616504185144239,-0.011571908438485323
remove_dec2_H2,left_adrenal_gland,0.6279098806303345,-0.01546828142928558
remove_dec2_H2,duodenum,0.6151893318942319,-0.011558442257312618
remove_dec2_H2,esophagus,0.7636838897249475,0.0006307515709630396
remove_dec2_H2,bladder,0.8244154431720477,0.0006963031014285415
remove_dec1_H1,liver,0.9141972210052931,-0.013580596604884088
remove_dec1_H1,spleen,0.8858984100718688,-0.0420035317127585
remove_dec1_H1,right_kidney,0.8981464465707155,-0.025673971851857713
remove_dec1_H1,left_kidney,0.8970489596393595,-0.022527874587570884
remove_dec1_H1,stomach,0.8229199576573911,-0.019694541314208336
remove_dec1_H1,pancreas,0.6286115317439768,-0.06977706203754952
remove_dec1_H1,gall_bladder,0.6883874679051541,-0.020940111678925732
remove_dec1_H1,right_adrenal_gland,0.49072328892751566,-0.13735280465520866
remove_dec1_H1,left_adrenal_gland,0.5180684757981143,-0.12530968626150574
remove_dec1_H1,duodenum,0.5715935876043797,-0.05515418654716475
remove_dec1_H1,esophagus,0.7362840078345777,-0.026769130319406753
remove_dec1_H1,bladder,0.8107065900108866,-0.013012550059732564
remove_dec1_H2,liver,0.9231916655586914,-0.004586152051485826
remove_dec1_H2,spleen,0.922438434427376,-0.005463507357251207
remove_dec1_H2,right_kidney,0.9213913839851136,-0.002429034437459676
remove_dec1_H2,left_kidney,0.9170247431483157,-0.002552091078614649
remove_dec1_H2,stomach,0.8318979050418113,-0.010716593929788187
