stage,organ,head,share,n_pixels
dec1,liver,1,0.5465063031423192,5087984
dec1,liver,2,0.45349369871049144,5087984
dec1,spleen,1,0.7775345431175007,775146
dec1,spleen,2,0.2224654574896601,775146
dec1,right_kidney,1,0.6901649791849815,511738
dec1,right_kidney,2,0.3098350185060196,511738
dec1,left_kidney,1,0.691323151442521,539877
dec1,left_kidney,2,0.30867685008547197,539877
dec1,stomach,1,0.3917074881385422,1437396
dec1,stomach,2,0.6082925111094104,1437396
dec1,pancreas,1,0.6431060375219223,252719
dec1,pancreas,2,0.35689396150824837,252719
dec1,gall_bladder,1,0.4565797977345919,134991
dec1,gall_bladder,2,0.5434201990862818,134991
dec1,right_adrenal_gland,1,0.5858669322503065,12525
dec1,right_adrenal_gland,2,0.41413306693117063,12525
dec1,left_adrenal_gland,1,0.5564064495807709,14840
dec1,left_adrenal_gland,2,0.44359355209008705,14840
dec1,duodenum,1,0.530370099833778,217818
dec1,duodenum,2,0.46962990138339156,217818
dec1,esophagus,1,0.3988704382610122,58969
dec1,esophagus,2,0.6011295598953263,58969
dec1,bladder,1,0.523985220674926,436395
dec1,bladder,2,0.4760147773276672,436395
dec1,background,1,0.27410422695358844,167189298
dec1,background,2,0.725895774880504,167189298
dec2,liver,1,0.5956326492300598,5087984
dec2,liver,2,0.4043673530855318,5087984
dec2,spleen,1,0.439041204471929,775146
dec2,spleen,2,0.560958795995591,775146
dec2,right_kidney,1,0.6544034312066764,511738
dec2,right_kidney,2,0.345596568187654,511738
dec2,left_kidney,1,0.5575143476578871,539877
dec2,left_kidney,2,0.44248565379238136,539877
dec2,stomach,1,0.6829351473094261,1437396
dec2,stomach,2,0.317064854444964,1437396
dec2,pancreas,1,0.7131776442930854,252719
dec2,pancreas,2,0.28682235500124115,252719
dec2,gall_bladder,1,0.7629961221327312,134991
dec2,gall_bladder,2,0.2370038829927269,134991
dec2,right_adrenal_gland,1,0.8728657635290942,12525
dec2,right_adrenal_gland,2,0.12713423678974906,12525
dec2,left_adrenal_gland,1,0.6858921960357707,14840
dec2,left_adrenal_gland,2,0.31410780610903255,14840
dec2,duodenum,1,0.7718474332929607,217818
dec2,duodenum,2,0.2281525668230645,217818
dec2,esophagus,1,0.8397542851475277,58969
dec2,esophagus,2,0.16024571425813403,58969
dec2,bladder,1,0.8238681681235732,436395
dec2,bladder,2,0.17613183255606954,436395
dec2,background,1,0.5721330783296645,167189298
dec2,background,2,0.4278669219507063,167189298
dec3,liver,1,0.2416821000368988,5087984
dec3,liver,2,0.7583178971768095,5087984
dec3,spleen,1,0.7132044727182634,775146
dec3,spleen,2,0.2867955235325032,775146
dec3,right_kidney,1,0.8625620176112406,511738
dec3,right_kidney,2,0.13743798329924384,511738
dec3,left_kidney,1,0.9747667212269142,539877
dec3,left_kidney,2,0.025233275589886636,539877
dec3,stomach,1,0.9176234038137956,1437396
dec3,stomach,2,0.08237659298233183,1437396
dec3,pancreas,1,0.9637211408855834,252719
dec3,pancreas,2,0.03627886100260028,252719
dec3,gall_bladder,1,0.6060409045009423,134991
dec3,gall_bladder,2,0.3939590954195796,134991
dec3,right_adrenal_gland,1,0.8603008207446801,12525
dec3,right_adrenal_gland,2,0.13969917988348865,12525
dec3,left_adrenal_gland,1,0.9640429386231456,14840
dec3,left_adrenal_gland,2,0.03595705968792227,14840
dec3,duodenum,1,0.9441539801549863,217818
dec3,duodenum,2,0.05584602215491329,217818
dec3,esophagus,1,0.8836714855139041,58969
dec3,esophagus,2,0.11632851491315019,58969
dec3,bladder,1,0.9765228603045156,436395
dec3,bladder,2,0.023477139920792717,436395
dec3,background,1,0.7099728132834981,167189298
dec3,background,2,0.290027188620687,167189298
dec4,liver,1,1.6491506548904353e-08,5087984
dec4,liver,2,0.9999999997120974,5087984
dec4,spleen,1,5.944850214894341e-09,775146
dec4,spleen,2,0.9999999999606299,775146
dec4,right_kidney,1,1.4838841225605902e-08,511738
dec4,right_kidney,2,0.9999999998807296,511738
dec4,left_kidney,1,1.1733913951763265e-08,539877
dec4,left_kidney,2,0.9999999999929341,539877
dec4,stomach,1,3.0435582862791275e-08,1437396
dec4,stomach,2,0.9999999929194097,1437396
dec4,pancreas,1,1.9445768588715122e-08,252719
dec4,pancreas,2,0.9999999967697514,252719
dec4,gall_bladder,1,3.4197223749227725e-09,134991
dec4,gall_bladder,2,1.0,134991
dec4,right_adrenal_gland,1,5.671602233731564e-09,12525
dec4,right_adrenal_gland,2,0.9999999993908667,12525
dec4,left_adrenal_gland,1,7.765684678138781e-09,14840
dec4,left_adrenal_gland,2,0.9999999984576695,14840
dec4,duodenum,1,1.424781143634524e-08,217818
dec4,duodenum,2,0.9999999986689944,217818
dec4,esophagus,1,9.192308764853925e-08,58969
dec4,esophagus,2,0.9999999251538141,58969
dec4,bladder,1,9.668076254962167e-07,436395
dec4,bladder,2,0.9999990472937921,436395
dec4,background,1,1.3717420549678166e-07,167189298
dec4,background,2,0.9999998920572356,167189298
