stage,organ,head,share,n_pixels
dec1,liver,1,0.516965974436207,5087984
dec1,liver,2,0.4830340262535596,5087984
dec1,spleen,1,0.8929392306242704,775146
dec1,spleen,2,0.1070607665607672,775146
dec1,right_kidney,1,0.6013561803399341,511738
dec1,right_kidney,2,0.3986438219140886,511738
dec1,left_kidney,1,0.757910049910872,539877
dec1,left_kidney,2,0.24208994906546105,539877
dec1,stomach,1,0.32706434438555226,1437396
dec1,stomach,2,0.6729356575043522,1437396
dec1,pancreas,1,0.791536016129397,252719
dec1,pancreas,2,0.20846398268001487,252719
dec1,gall_bladder,1,0.6327849300477578,134991
dec1,gall_bladder,2,0.3672150651340996,134991
dec1,right_adrenal_gland,1,0.8171999752783252,12525
dec1,right_adrenal_gland,2,0.18280002375324805,12525
dec1,left_adrenal_gland,1,0.6303061253298325,14840
dec1,left_adrenal_gland,2,0.3696938744131124,14840
dec1,duodenum,1,0.614785563821098,217818
dec1,duodenum,2,0.3852144384337307,217818
dec1,esophagus,1,0.4798163105980623,58969
dec1,esophagus,2,0.5201836933884513,58969
dec1,bladder,1,0.5321022642135598,436395
dec1,bladder,2,0.467897737683321,436395
dec1,background,1,0.4768981822076988,167189298
dec1,background,2,0.5231018189137845,167189298
dec2,liver,1,0.3688125029433121,5087984
dec2,liver,2,0.631187494603518,5087984
dec2,spleen,1,0.3515982791242278,775146
dec2,spleen,2,0.6484017227114033,775146
dec2,right_kidney,1,0.8220582148783985,511738
dec2,right_kidney,2,0.1779417851160107,511738
dec2,left_kidney,1,0.7824578029176884,539877
dec2,left_kidney,2,0.2175421990722355,539877
dec2,stomach,1,0.5242513583031017,1437396
dec2,stomach,2,0.4757486414512473,1437396
dec2,pancreas,1,0.6284859623902072,252719
dec2,pancreas,2,0.3715140369984607,252719
dec2,gall_bladder,1,0.6862434118789863,134991
dec2,gall_bladder,2,0.31375658839477183,134991
dec2,right_adrenal_gland,1,0.7961601973817258,12525
dec2,right_adrenal_gland,2,0.2038397988920916,12525
dec2,left_adrenal_gland,1,0.7382145286249022,14840
dec2,left_adrenal_gland,2,0.26178546801731595,14840
dec2,duodenum,1,0.6861269415075623,217818
dec2,duodenum,2,0.3138730599788734,217818
dec2,esophagus,1,0.6424898963063578,58969
dec2,esophagus,2,0.3575101043001098,58969
dec2,bladder,1,0.7978649994661531,436395
dec2,bladder,2,0.2021349962363629,436395
dec2,background,1,0.5101107497697012,167189298
dec2,background,2,0.4898892509779543,167189298
dec3,liver,1,0.1840791016506604,5087984
dec3,liver,2,0.815920899019894,5087984
dec3,spleen,1,0.24179179404037815,775146
dec3,spleen,2,0.7582082007049433,775146
dec3,right_kidney,1,0.822877187432085,511738
dec3,right_kidney,2,0.17712280821454815,511738
dec3,left_kidney,1,0.8097216191446366,539877
dec3,left_kidney,2,0.19027838042230324,539877
dec3,stomach,1,0.7708684703448252,1437396
dec3,stomach,2,0.2291315312825408,1437396
dec3,pancreas,1,0.9228488127130791,252719
dec3,pancreas,2,0.07715119217734198,252719
dec3,gall_bladder,1,0.6753227282795811,134991
dec3,gall_bladder,2,0.3246772741851249,134991
dec3,right_adrenal_gland,1,0.582057274039872,12525
dec3,right_adrenal_gland,2,0.417942725636526,12525
dec3,left_adrenal_gland,1,0.9558535821996931,14840
dec3,left_adrenal_gland,2,0.04414641551994731,14840
dec3,duodenum,1,0.9068586254626881,217818
dec3,duodenum,2,0.09314137637825362,217818
dec3,esophagus,1,0.8747076523827771,58969
dec3,esophagus,2,0.12529234597192684,58969
dec3,bladder,1,0.9159031832807804,436395
dec3,bladder,2,0.08409681645675607,436395
dec3,background,1,0.5173840302182126,167189298
dec3,background,2,0.48261597155746927,167189298
dec4,liver,1,0.7271170263934077,5087984
dec4,liver,2,0.27288297381052323,5087984
dec4,spleen,1,0.1015182440099698,775146
dec4,spleen,2,0.8984817535611178,775146
dec4,right_kidney,1,0.8893142481598902,511738
dec4,right_kidney,2,0.11068575404126749,511738
dec4,left_kidney,1,0.5533372355511417,539877
dec4,left_kidney,2,0.44666276278904277,539877
dec4,stomach,1,0.493457226689621,1437396
dec4,stomach,2,0.5065427748213365,1437396
dec4,pancreas,1,0.8637779219190478,252719
dec4,pancreas,2,0.1362220781406821,252719
dec4,gall_bladder,1,0.7599745521381791,134991
dec4,gall_bladder,2,0.2400254471021924,134991
dec4,right_adrenal_gland,1,0.9983142023981212,12525
dec4,right_adrenal_gland,2,0.0016857982276262207,12525
dec4,left_adrenal_gland,1,0.948821968306107,14840
dec4,left_adrenal_gland,2,0.05117803146344713,14840
dec4,duodenum,1,0.9850012506178276,217818
dec4,duodenum,2,0.014998746089774478,217818
dec4,esophagus,1,0.9473239586747061,58969
dec4,esophagus,2,0.052676039575983345,58969
dec4,bladder,1,0.98214727673219,436395
dec4,bladder,2,0.017852722820244485,436395
dec4,background,1,0.5470365153891683,167189298
dec4,background,2,0.4529634850897985,167189298
